45 75                                           
12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 12 1 12 1 12 1 3 3 3 3 3 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 13 13 13 13 13 13 13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 3 3 14 0 0 0 0 3 3 3 3 3 14 0 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 3 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 3 3 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 3 3 0 9 0 0 0 3 3 3 3 3 0 9 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 3 14 0 0 0 0 3 3 3 3 3 14 0 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 3 3 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 3 3 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 3 0 9 0 0 0 3 3 3 3 3 0 9 0 0 0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 12 1 12 1 3 3 3 3 3 3 3 3 3 3 3 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 6 6 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 6 6 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 1 12 1 12 1 12 1 12 1 13 13 13 13 13 3 13 13 13 13 13 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1 12 1
1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
